Datetime,Consumption_MW
2024-01-01 00:00:00,456.95
2024-01-01 01:00:00,452.03
2024-01-01 02:00:00,494.01
2024-01-01 03:00:00,480.71
2024-01-01 04:00:00,500.32
2024-01-01 05:00:00,481.95
2024-01-01 06:00:00,549.54
2024-01-01 07:00:00,507.8
2024-01-01 08:00:00,537.09
2024-01-01 09:00:00,555.33
2024-01-01 10:00:00,574.54
2024-01-01 11:00:00,571.6
2024-01-01 12:00:00,548.01
2024-01-01 13:00:00,548.46
2024-01-01 14:00:00,543.62
2024-01-01 15:00:00,535.72
2024-01-01 16:00:00,543.4
2024-01-01 17:00:00,531.37
2024-01-01 18:00:00,596.47
2024-01-01 19:00:00,590.94
2024-01-01 20:00:00,582.94
2024-01-01 21:00:00,577.52
2024-01-01 22:00:00,581.93
2024-01-01 23:00:00,476.77
2024-01-02 00:00:00,439.66
2024-01-02 01:00:00,465.27
2024-01-02 02:00:00,475.01
2024-01-02 03:00:00,475.16
2024-01-02 04:00:00,505.91
2024-01-02 05:00:00,457.24
2024-01-02 06:00:00,513.9
2024-01-02 07:00:00,524.85
2024-01-02 08:00:00,534.55
2024-01-02 09:00:00,514.16
2024-01-02 10:00:00,583.24
2024-01-02 11:00:00,548.92
2024-01-02 12:00:00,572.87
2024-01-02 13:00:00,585.78
2024-01-02 14:00:00,542.86
2024-01-02 15:00:00,529.4
2024-01-02 16:00:00,535.8
2024-01-02 17:00:00,546.05
2024-01-02 18:00:00,594.54
2024-01-02 19:00:00,593.6
2024-01-02 20:00:00,602.44
2024-01-02 21:00:00,558.55
2024-01-02 22:00:00,546.96
2024-01-02 23:00:00,464.52
2024-01-03 00:00:00,455.68
2024-01-03 01:00:00,479.33
2024-01-03 02:00:00,454.84
2024-01-03 03:00:00,470.44
2024-01-03 04:00:00,476.11
2024-01-03 05:00:00,493.93
2024-01-03 06:00:00,557.55
2024-01-03 07:00:00,535.22
2024-01-03 08:00:00,545.81
2024-01-03 09:00:00,588.81
2024-01-03 10:00:00,538.26
2024-01-03 11:00:00,563.39
2024-01-03 12:00:00,549.36
2024-01-03 13:00:00,584.54
2024-01-03 14:00:00,558.3
2024-01-03 15:00:00,558.69
2024-01-03 16:00:00,515.99
2024-01-03 17:00:00,528.77
2024-01-03 18:00:00,607.27
2024-01-03 19:00:00,603.52
2024-01-03 20:00:00,587.92
2024-01-03 21:00:00,571.48
2024-01-03 22:00:00,558.23
2024-01-03 23:00:00,463.02
2024-01-04 00:00:00,468.21
2024-01-04 01:00:00,473.94
2024-01-04 02:00:00,473.51
2024-01-04 03:00:00,445.06
2024-01-04 04:00:00,509.22
2024-01-04 05:00:00,486.05
2024-01-04 06:00:00,511.78
2024-01-04 07:00:00,504.9
2024-01-04 08:00:00,539.59
2024-01-04 09:00:00,582.89
2024-01-04 10:00:00,533.78
2024-01-04 11:00:00,542.61
2024-01-04 12:00:00,547.79
2024-01-04 13:00:00,553.65
2024-01-04 14:00:00,535.65
2024-01-04 15:00:00,539.92
2024-01-04 16:00:00,510.77
2024-01-04 17:00:00,527.74
2024-01-04 18:00:00,565.07
2024-01-04 19:00:00,591.96
2024-01-04 20:00:00,578.35
2024-01-04 21:00:00,568.91
2024-01-04 22:00:00,570.63
2024-01-04 23:00:00,474.19
2024-01-05 00:00:00,427.36
2024-01-05 01:00:00,459.49
2024-01-05 02:00:00,473.96
2024-01-05 03:00:00,462.26
2024-01-05 04:00:00,480.1
2024-01-05 05:00:00,472.96
2024-01-05 06:00:00,529.33
2024-01-05 07:00:00,535.91
2024-01-05 08:00:00,548.67
2024-01-05 09:00:00,511.27
2024-01-05 10:00:00,556.37
2024-01-05 11:00:00,575.67
2024-01-05 12:00:00,552.39
2024-01-05 13:00:00,580.12
2024-01-05 14:00:00,575.03
2024-01-05 15:00:00,548.43
2024-01-05 16:00:00,534.65
2024-01-05 17:00:00,508.25
2024-01-05 18:00:00,621.19
2024-01-05 19:00:00,577.49
2024-01-05 20:00:00,590.59
2024-01-05 21:00:00,559.85
2024-01-05 22:00:00,568.99
2024-01-05 23:00:00,449.42
2024-01-06 00:00:00,427.77
2024-01-06 01:00:00,411.33
2024-01-06 02:00:00,454.24
2024-01-06 03:00:00,440.62
2024-01-06 04:00:00,459.01
2024-01-06 05:00:00,440.7
2024-01-06 06:00:00,477.05
2024-01-06 07:00:00,497.07
2024-01-06 08:00:00,455.97
2024-01-06 09:00:00,500.93
2024-01-06 10:00:00,523.6
2024-01-06 11:00:00,512.31
2024-01-06 12:00:00,538.2
2024-01-06 13:00:00,534.45
2024-01-06 14:00:00,525.79
2024-01-06 15:00:00,513.81
2024-01-06 16:00:00,530.12
2024-01-06 17:00:00,482.72
2024-01-06 18:00:00,589.4
2024-01-06 19:00:00,558.76
2024-01-06 20:00:00,553.3
2024-01-06 21:00:00,537.61
2024-01-06 22:00:00,529.42
2024-01-06 23:00:00,438.25
2024-01-07 00:00:00,437.91
2024-01-07 01:00:00,421.95
2024-01-07 02:00:00,435.55
2024-01-07 03:00:00,442.95
2024-01-07 04:00:00,461.39
2024-01-07 05:00:00,466.28
2024-01-07 06:00:00,483.98
2024-01-07 07:00:00,488.6
2024-01-07 08:00:00,514.2
2024-01-07 09:00:00,517.31
2024-01-07 10:00:00,553.36
2024-01-07 11:00:00,508.15
2024-01-07 12:00:00,508.44
2024-01-07 13:00:00,508.91
2024-01-07 14:00:00,514.32
2024-01-07 15:00:00,543.13
2024-01-07 16:00:00,512.05
2024-01-07 17:00:00,505.81
2024-01-07 18:00:00,576.73
2024-01-07 19:00:00,545.76
2024-01-07 20:00:00,552.12
2024-01-07 21:00:00,539.13
2024-01-07 22:00:00,519.78
2024-01-07 23:00:00,434.49
